"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AK00097","COX, JOHN R.","REP",2014,"H","AK",0,"C00525261"
"2","H0AL02087","ROBY, MARTHA","REP",2014,"H","AL",2,"C00462143"
"3","H0AL05163","BROOKS, MO","REP",2014,"H","AL",5,"C00464149"
"4","H0AL07086","SEWELL, TERRI A.","DEM",2014,"H","AL",7,"C00458976"
"5","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2014,"H","AR",1,"C00462374"
"6","H0AR02107","GRIFFIN, JOHN TIMOTHY","REP",2014,"H","AR",2,"C00468116"
"7","H0AR03055","WOMACK, STEVE","REP",2014,"H","AR",3,"C00477745"
"8","H0AS00018","FALEOMAVAEGA, ENI","DEM",2014,"H","AS",0,"C00231092"
"9","H0AZ01259","GOSAR, PAUL ANTHONY","REP",2014,"H","AZ",4,"C00461806"
"10","H0AZ01325","TOBIN, ANDY HON.","REP",2014,"H","AZ",1,"C00550012"
"11","H0AZ03321","PARKER, VERNON","REP",2014,"H","AZ",9,"C00541508"
"12","H0CA03078","BERA, AMERISH","DEM",2014,"H","CA",7,"C00461061"
"13","H0CA08069","DENNIS, JOHN","REP",2014,"H","CA",12,"C00554337"
"14","H0CA10073","DESAULNIER, MARK","DEM",2014,"H","CA",11,"C00554709"
"15","H0CA10149","GARAMENDI, JOHN","DEM",2014,"H","CA",3,"C00462697"
"16","H0CA10172","PETERSON, DAVID","DEM",2014,"H","CA",12,"C00549030"
"17","H0CA11337","AMADOR, ANTONIO CANDIA","REP",2014,"H","CA",9,"C00553289"
"18","H0CA11352","EMKEN, ELIZABETH","REP",2014,"H","CA",7,"C00545509"
"19","H0CA13093","JELINCIC, JUSTIN","DEM",2014,"H","CA",13,"C00481564"
"20","H0CA15148","HONDA, MIKE","DEM",2014,"H","CA",17,"C00351379"
"21","H0CA15171","SIMITIAN, S JOSEPH","DEM",2014,"H","CA",15,"C00458117"
"22","H0CA19082","HERNANDEZ, JOHN STEPHEN","DEM",2014,"H","CA",21,"C00559419"
"23","H0CA19173","DENHAM, JEFF","REP",2014,"H","CA",10,"C00473272"
"24","H0CA23043","KALEMKARIAN, TIMOTHY CHARLES","REP",2014,"H","CA",26,"C00520742"
"25","H0CA27085","SCHIFF, ADAM","DEM",2014,"H","CA",28,"C00343871"
"26","H0CA27101","REED SR., MARK STEVEN SR.","REP",2014,"H","CA",30,"C00462317"
"27","H0CA32101","CHU, JUDY","DEM",2014,"H","CA",27,"C00458125"
"28","H0CA33109","EVANS, MERVIN LEON","DEM",2014,"H","CA",37,"C00474288"
"29","H0CA33117","BASS, KAREN","DEM",2014,"H","CA",37,"C00476523"
"30","H0CA34099","SANCHEZ, DAVID","DEM",2014,"H","CA",40,""
"31","H0CA48024","ISSA, DARRELL","REP",2014,"H","CA",49,"C00350520"
"32","H0CA49055","DAVIS, SUSAN","DEM",2014,"H","CA",53,"C00344671"
"33","H0CO04122","GARDNER, CORY","REP",2014,"H","CO",4,"C00492454"
"34","H0CT03072","DELAURO, ROSA L","DEM",2014,"H","CT",3,"C00238865"
"35","H0CT04146","DEBICELLA, DAN","REP",2014,"H","CT",4,"C00549527"
"36","H0CT05127","PISTONE, JOHN","REP",2014,"H","CT",5,"C00462663"
"37","H0CT05150","GREENBERG, MARK","REP",2014,"H","CT",5,"C00493395"
"38","H0DC00058","NORTON, ELEANOR HOLMES","DEM",2014,"H","DC",0,"C00244335"
"39","H0DC00215","LEE, MICHAEL AGUSTUS (MATTHEW) ","DEM",2014,"H","DC",0,"C00552224"
"40","H0DE01017","CARNEY, JOHN","DEM",2014,"H","DE",0,"C00460899"
"41","H0DE01025","IZZO, ROSE","REP",2014,"H","DE",0,"C00548040"
"42","H0FL00023","KRAUSE, JOHN E","REP",2014,"H","FL",1,"C00466060"
"43","H0FL02110","SOUTHERLAND, WILLIAM STEVE II","REP",2014,"H","FL",2,"C00468959"
"44","H0FL04066","CRENSHAW, ANDER","REP",2014,"H","FL",4,"C00352849"
"45","H0FL05139","NUGENT, RICHARD B","REP",2014,"H","FL",11,"C00482281"
"46","H0FL08208","WEBSTER, DANIEL","REP",2014,"H","FL",10,"C00481911"
"47","H0FL12101","ROSS, DENNIS ALAN","REP",2014,"H","FL",15,"C00459461"
"48","H0FL17068","WILSON, FREDERICA S","DEM",2014,"H","FL",24,"C00460055"
"49","H0FL18025","ROS-LEHTINEN, ILEANA","REP",2014,"H","FL",27,"C00280537"
"50","H0FL19080","DEUTCH, THEODORE ELIOT","DEM",2014,"H","FL",21,"C00469163"
"51","H0FL20070","HARRINGTON, KAREN","REP",2014,"H","FL",23,"C00474478"
"52","H0FL24171","RUIZ, NICHOLAS III","DEM",2014,"H","FL",9,"C00492330"
"53","H0FL25038","RIVERA, DAVID","REP",2014,"H","FL",26,"C00477356"
