"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AL02087","ROBY, MARTHA","REP",2016,"H","AL",2,"C00462143"
"2","H0AL05163","BROOKS, MO","REP",2016,"H","AL",5,"C00464149"
"3","H0AL07086","SEWELL, TERRYCINA ANDREA","DEM",2016,"H","AL",7,"C00458976"
"4","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2016,"H","AR",1,"C00462374"
"5","H0AR03055","WOMACK, STEVE","REP",2016,"H","AR",3,"C00477745"
"6","H0AZ01259","GOSAR, PAUL DR.","REP",2016,"H","AZ",4,"C00461806"
"7","H0CA03078","BERA, AMERISH","DEM",2016,"H","CA",7,"C00461061"
"8","H0CA10073","DESAULNIER, MARK","DEM",2016,"H","CA",11,"C00554709"
"9","H0CA10149","GARAMENDI, JOHN","DEM",2016,"H","CA",3,"C00462697"
"10","H0CA11337","AMADOR, ANTONIO C","REP",2016,"H","CA",9,"C00613083"
"11","H0CA15148","HONDA, MIKE","DEM",2016,"H","CA",17,"C00351379"
"12","H0CA19173","DENHAM, JEFF","REP",2016,"H","CA",10,"C00473272"
"13","H0CA27085","SCHIFF, ADAM","DEM",2016,"H","CA",28,"C00343871"
"14","H0CA32101","CHU, JUDY","DEM",2016,"H","CA",27,"C00458125"
"15","H0CA33117","BASS, KAREN","DEM",2016,"H","CA",37,"C00476523"
"16","H0CA33158","GRIFFIN, MORRIS F","DEM",2016,"H","CA",44,""
"17","H0CA48024","ISSA, DARRELL ","REP",2016,"H","CA",49,"C00350520"
"18","H0CA49055","DAVIS, SUSAN","DEM",2016,"H","CA",53,"C00344671"
"19","H0CT02140","NOVAK, DARIA IRENE","REP",2016,"H","CT",2,"C00589713"
"20","H0CT03072","DELARUO, ROSA L","DEM",2016,"H","CT",3,"C00238865"
"21","H0DC00058","NORTON, ELEANOR HOLMES","DEM",2016,"H","DC",0,"C00244335"
"22","H0DE00068","MILLER, MICHEAL CARLTON SR","DEM",2016,"H","DE",0,"C00455006"
"23","H0DE01017","CARNEY, JOHN","DEM",2016,"H","DE",0,"C00460899"
"24","H0DE01025","IZZO, ROSE","REP",2016,"H","DE",0,"C00548040"
"25","H0FL02086","LAWSON, ALFRED JR","DEM",2016,"H","FL",5,"C00460261"
"26","H0FL04066","CRENSHAW, ANDER","REP",2016,"H","FL",4,"C00352849"
"27","H0FL05139","NUGENT, RICHARD B","REP",2016,"H","FL",11,"C00482281"
"28","H0FL08042","KELLER, RICHARD ANTHONY","REP",2016,"H","FL",6,"C00614818"
"29","H0FL08208","WEBSTER, DANIEL","REP",2016,"H","FL",10,"C00481911"
"30","H0FL12101","ROSS, DENNIS ALAN","REP",2016,"H","FL",15,"C00459461"
"31","H0FL17068","WILSON, FREDERICA S.","DEM",2016,"H","FL",24,"C00460055"
"32","H0FL18025","ROS-LEHTINEN, ILEANA THE HON.","REP",2016,"H","FL",27,"C00280537"
"33","H0FL19080","DEUTCH, THEODORE ELIOT","DEM",2016,"H","FL",22,"C00469163"
"34","H0FL24049","ADAMS, SANDY","REP",2016,"H","FL",6,"C00463877"
"35","H0GA04106","ARMENDARIZ, VICTOR","REP",2016,"H","GA",4,"C00615021"
"36","H0GA07125","HICE, JODY","REP",2016,"H","GA",10,"C00544445"
"37","H0GA07133","WOODALL, ROB REP.","REP",2016,"H","GA",7,"C00482307"
"38","H0GA08065","HICKS, ANGELA","REP",2016,"H","GA",8,"C00611582"
"39","H0GA08099","SCOTT, JAMES AUSTIN","REP",2016,"H","GA",8,"C00482737"
