"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"1","H0AK00113","TUGATUK, RAY SEAN","DEM",2020,"H","AK",0,""
"2","H0AL01055","CARL, JERRY LEE, JR","REP",2020,"H","AL",1,"C00697789"
"3","H0AL01063","LAMBERT, DOUGLAS WESTLEY III","REP",2020,"H","AL",1,"C00701557"
"4","H0AL01071","PRINGLE, CHRISTOPHER PAUL","REP",2020,"H","AL",1,"C00701409"
"5","H0AL01089","HIGHTOWER, BILL","REP",2020,"H","AL",1,"C00703066"
"6","H0AL01097","AVERHART, JAMES","DEM",2020,"H","AL",1,"C00708867"
"7","H0AL01105","GARDNER, KIANI A","DEM",2020,"H","AL",1,"C00710947"
"8","H0AL01113","ROMAGNANO, CHASE ANDERSON ANDY REVEREN","REP",2020,"H","AL",1,"C00719351"
"9","H0AL01121","CASTORANI, JOHN","REP",2020,"H","AL",1,"C00722512"
"10","H0AL01139","COLLINS, FREDERICK G. RICK'","DEM",2020,"H","AL",1,"C00725069"
"11","H0AL02087","ROBY, MARTHA","REP",2020,"H","AL",2,"C00462143"
"12","H0AL02137","DISMUKES, WILL","REP",2020,"H","AL",2,"C00714337"
"13","H0AL02145","COLEMAN, JEFF","REP",2020,"H","AL",2,"C00715698"
"14","H0AL02152","KING, TROY","REP",2020,"H","AL",2,"C00718411"
"15","H0AL02160","BROWN, THOMAS WILLIAM JR.","REP",2020,"H","AL",2,"C00723478"
"16","H0AL02178","TAYLOR, JESSICA","REP",2020,"H","AL",2,"C00723759"
"17","H0AL02194","HASDORFF, TERRI","REP",2020,"H","AL",2,"C00726109"
"18","H0AL02202","HARVEY-HALL, PHYLLIS","DEM",2020,"H","AL",2,"C00728873"
"19","H0AL03192","THOMPSON, HANNAH","DEM",2020,"H","AL",3,"C00681452"
"20","H0AL05163","BROOKS, MO","REP",2020,"H","AL",5,"C00464149"
"21","H0AL05205","LEWIS, CHRIS","REP",2020,"H","AL",5,"C00701375"
"22","H0AL06104","ALLEN, ANDERS POPE","REP",2020,"H","AL",6,"C00681213"
"23","H0AL07086","SEWELL, TERRI A.","DEM",2020,"H","AL",7,"C00458976"
"24","H0AL07193","STOKES, CAMRON DEVIN HON.","DEM",2020,"H","AL",7,"C00723601"
"25","H0AR01083","CRAWFORD, ERIC ALAN RICK","REP",2020,"H","AR",1,"C00462374"
"26","H0AR02198","REDMOND, RAYMOND DALLAS JR.","DEM",2020,"H","AR",4,"C00711226"
"27","H0AR02206","ELLIOTT, JOYCE ANN SENATOR","DEM",2020,"H","AR",2,"C00726943"
"28","H0AR03055","WOMACK, STEVE","REP",2020,"H","AR",3,"C00477745"
"29","H0AR03105","WILLIAMS, CELESTE SARENE","DEM",2020,"H","AR",3,"C00709667"
"30","H0AR04087","HANSON, WILLIAM MR.","DEM",2020,"H","AR",4,"C00717439"
